region_id,elevation_p10_m,elevation_p90_m,terrain_relief,dem_pixel_count,terrain_relief_source_type,terrain_relief_missing_reason
43150,184.86741638183594,642.5773315429688,457.7099151611328,108971,static_reference,
43720,147.23228454589844,457.8916687011719,310.6593841552735,72093,static_reference,
43730,99.5898551940918,334.9325958251953,235.34274063110348,66880,static_reference,
43740,154.44857788085938,631.712158203125,477.2635803222656,105291,static_reference,
43745,64.07360229492187,316.94528808593753,252.87168579101566,10103,static_reference,
43750,64.15826873779297,314.69476013183595,250.53649139404297,50402,static_reference,
43760,132.57126922607424,518.3268432617186,385.7555740356444,103954,static_reference,
43770,89.16922225952149,295.98027954101565,206.81105728149416,64148,static_reference,
43800,209.9535339355469,828.7267639160157,618.7732299804688,96382,static_reference,
44130,30.758119583129883,276.3772766113284,245.61915702819852,78585,static_reference,
44150,32.39648208618164,305.9203125,273.52383041381836,106647,static_reference,
44180,4.869397687911987,260.8559234619141,255.98652577400208,72110,static_reference,
44200,5.458284759521485,173.86599731445315,168.40771255493166,67083,static_reference,
44210,1.7401914834976198,127.54059448242178,125.80040299892416,91764,static_reference,
44230,6.874950408935547,228.52383422851562,221.64888381958008,68431,static_reference,
44250,108.6993423461914,376.0940063476563,267.3946640014649,7500,static_reference,
44270,2.4603356599807737,67.33532943725588,64.87499377727511,87630,static_reference,
44710,161.67894744873047,416.5829620361328,254.90401458740234,71180,static_reference,
44760,6.450968027114868,192.59656524658203,186.14559721946716,77076,static_reference,
44770,3.9021084547042846,112.28462066650391,108.38251221179962,45352,static_reference,
44790,35.379778289794935,266.97381896972655,231.59404067993162,59210,static_reference,
44800,12.166285514831543,131.9778289794922,119.81154346466064,54751,static_reference,
44810,10.583792877197265,201.598031616211,191.01423873901373,67099,static_reference,
44825,2.285444641113281,55.16478271484378,52.8793380737305,65974,static_reference,
47110,18.69010200500488,495.3631591796875,476.67305717468264,139923,static_reference,
47130,42.96648178100586,419.90821838378906,376.9417366027832,163060,static_reference,
47150,79.8368408203125,635.3369873046875,555.5001464843749,124139,static_reference,
47170,119.12674560546874,399.93283081054716,280.80608520507843,188689,static_reference,
47190,34.649169921875,281.60641479492193,246.95724487304693,75817,static_reference,
47210,157.85229034423827,759.3806091308595,601.5283187866212,83142,static_reference,
47230,92.29313659667969,459.27178955078125,366.97865295410156,113111,static_reference,
47250,66.74083404541015,463.27161254882816,396.530778503418,154643,static_reference,
